CAMIS,DBA,Lat,Lng,Cuisine,Grade
50004192,THE OTHER PLACE,40.7102956,-73.8491607,American,A
50012426,ALPHAVILLE,40.7005456,-73.9257976,American,B
40568964,BONA PIZZA,40.8179181,-73.9057966,Pizza/Italian,B
50066413,SARITA'S MAC & CHEESE,40.730212,-73.983724,American,A
50004699,XE LUA RESTAURANT,40.7165948,-73.9987429,Vietnamese/Cambodian/Malaysia,B
41597839,KIDO SUSHI (QUEENS CENTER MALL),40.7345268,-73.8716422,Japanese,A
50041666,LUKE'S LOBSTER,40.7433024,-73.9893367,Seafood,A
41653879,LENOX SAPHIRE,40.809368,-73.944751,African,A
41720838,ROTI MEDITERRANEAN GRILL,40.706501,-74.007128,Mediterranean,A
41338317,IKEA,40.6715004,-74.0114594,American,B
50072743,DALLAS CHICKEN & BISCUIT,32.9451866,-96.6723854,Chicken,A
41361177,GRIMALDI'S,40.754848,-73.740674,Pizza,A
50038896,BOISHAKHI,40.756955,-73.931001,Bangladeshi,A
50003624,BREAK ROOM,40.7166358,-73.9997475,American,A
50044427,JING WAH CHINESE RESTAURANT,40.6796404,-73.8506474,Chinese,A
40634937,TRATTORIA I MALATESTA,40.732848,-74.0084337,Italian,A
41535326,GOLDEN Z RESTAURANT,40.5986521,-73.9569497,Chinese,A
50046199,SZECHWAN ABSOLUTE,40.7593849,-73.8326682,Chinese,A
40383609,REAL MADRID RESTAURANT,40.626607,-74.158427,Spanish,B
50018319,MCDONALD'S,40.737864,-73.996726,Hamburgers,A
50039197,FUEL JUICE BAR,40.6811018,-73.954264,"Juice, Smoothies, Fruit Salads",A
50011304,LA TRONCALENA LOUNGE & RESTAURANT,40.7530557,-73.8649447,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",A
50044525,UNCLE AL'S,40.8242849,-73.8199664,Soul Food,B
41548819,B & R SPICE WEST INDIAN FOOD,47.7908345,-122.2100452,Caribbean,A
41533145,SAL'S PIZZERIA,40.7045182,-73.9192199,Pizza,C
50038923,PIZZA BEACH,40.7213156,-73.9887651,Pizza/Italian,A
41156219,LA GULI PASTRY SHOP,40.7766793,-73.9110002,Bakery,A
41231138,PETE'S RESTAURANT & DONUT SHOP,34.925847,-95.724787,CoffeeTea,A
41399663,BENNY'S,40.6249387,-73.9616316,Pizza,A
41001182,"SUBWAY, CARVEL ICE CREAM",40.7666237,-73.9211015,Sandwiches,A
41343991,LITTLE SAIGON CUISINE,40.7709935,-73.7355064,Vietnamese/Cambodian/Malaysia,A
41638047,BESO RESTAURANT AND BAR,40.682942,-73.93528,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",B
41563113,APICIUS PIZZA,40.7751623,-73.9036353,Pizza/Italian,A
50017444,MCFADDEN'S,40.7499071,-73.9718839,Irish,B
41658445,VALBONA RESTAURANT,40.8756006,-73.8875907,CoffeeTea,A
50054472,LE PAIN QUOTIDIEN,40.7112999,-74.0161926,Soups & Sandwiches,A
50000616,NEW BROADWAY PIZZERIA AND COFFEE,40.851788,-73.9347083,American,A
40547272,DEATH & CO,40.7259347,-73.9846348,American,A
41359698,EMPIRE TORTILLAS,40.5971821,-73.9415575,Tex-Mex,A
40692120,NEW ROMA PIZZA,40.7187482,-73.9879048,Pizza,B
41009410,M1-5,40.7191197,-74.0033499,American,A
41440450,"KFC, TACO BELL",40.7297617,-73.9506235,Chicken,A
50002532,KENNEDY FRIED CHICKEN,40.8585287,-73.9035272,Chicken,A
40398549,PERRY'S RESTAURANT,40.5989932,-73.9419655,American,A
40549269,BLUE & GRAY INN,30.8319355,-86.9277871,American,A
41064708,HOUSE OF PIZZA & CALZONES,41.5863633,-87.4812415,Pizza/Italian,A
50017167,HAVELI FINE INDIAN CUISINE,40.7159432,-73.832574,Indian,A
50040685,SHANG SHANG QIAN,40.7627967,-73.8279335,Asian,A
41577604,DIAMOND KRUST,40.6649262,-73.9312613,Caribbean,A
41344229,GRACE PIZZA,40.702108,-73.880811,Pizza/Italian,A
41527114,MERCHANTS RIVER HOUSE,40.711397,-74.01787,American,A
40933602,PIZZA PETE'S,40.7862402,-73.9725922,Pizza,B
50048463,YUMMY YUMMY,40.6511938,-74.0079687,Chinese,A
50036094,FOOD PASSION,40.7766333,-73.9579528,Continental,A
41068576,PROMESA CAFETERIA,40.8461493,-73.9042441,American,A
41591603,ARIS POLLOS A LA BRASA,40.694573,-73.910768,Spanish,C
50005654,ALLERTON DINER,40.8653296,-73.8646203,American,B
40387357,CAFE LALO,40.7859812,-73.9767266,CoffeeTea,C
50053519,NO PORK HALAL KITCHEN,40.6832795,-73.9793,Chinese,A
